"Id","YearBuilt","YearRemodelled","NumberOfBedrooms","NumberOfBathrooms","NumberOfFloors","LivingArea","BasementExisting","FireplaceExisting","PoolExisting","GarageExisting","GarageCarCount","CloseToCommute","SalesCondition","ZipCode","City","StateAbbreviation","State","SalesPrice"
1,2003,2003,3,3.5,2.0,1710,1,0,0,1,2,1,4,96101,"ALTURAS","CA","California",208500.0
2,1955,0,3,1.0,1.0,1180,0,0,1,0,0,1,3,98178,"SEATTLE","WA","Washington",221900.5
3,1976,1976,3,2.5,1.0,1262,1,1,0,1,2,1,4,96103,"BLAIRSDEN-GRAEAGLE","CA","California",181500.0
4,1951,1991,3,2.25,2.0,2570,1,1,1,1,2,1,3,98125,"SEATTLE","WA","Washington",538000.9
5,1933,0,2,1.0,1.0,770,0,1,1,1,3,0,3,98028,"KENMORE","WA","Washington",180000.8
6,2001,2002,3,3.5,2.0,1786,1,1,0,1,2,1,4,96140,"CARNELIAN BAY","CA","California",223500.0
7,1965,0,4,3.0,1.0,1960,1,0,0,1,3,0,5,98136,"SEATTLE","WA","Washington",604000.5
8,1915,1970,3,2.0,2.0,1717,1,1,0,1,3,0,5,96104,"CEDARVILLE","CA","California",140000.0
9,2000,2000,4,3.5,2.0,2198,1,1,0,1,3,1,4,96105,"CHILCOOT","CA","California",250000.0
10,1987,0,3,2.0,1.0,1680,0,1,1,1,1,1,3,98074,"SAMMAMISH","WA","Washington",510000.3
11,1993,1995,1,2.5,1.5,1362,1,0,0,1,2,1,4,96106,"CLIO","CA","California",143000.0
12,2001,0,4,4.5,1.0,5420,1,0,0,0,0,0,3,98053,"REDMOND","WA","Washington",1050000.2
13,2004,2005,3,3.0,1.0,1694,1,1,0,1,2,1,4,96107,"COLEVILLE","CA","California",307000.0
14,1995,0,3,2.25,2.0,1715,0,0,1,0,0,0,3,98003,"FEDERAL WAY","WA","Washington",257500.1
15,1963,0,3,1.5,1.0,1060,0,1,1,0,0,0,3,98198,"SEATTLE","WA","Washington",291850.6
